Date,Region,Location,Lat,Long,Habitat,Temp_water_C,Wave_exposure,STATION,TRANSECT,DATATYP,SPECIES,NUMBER,Min,Max,Avg,Num_m^2
13-Feb-18,Isla de los Estados,Isla Alexander,-54.846,-64.39,Kelp bed,9,South,1,A,QUAN,Paranotothenia magellanica,2,10,,10,0.04
13-Feb-18,Isla de los Estados,Merle Cove,-54.792,-64.08,Kelp bed,9,South,2,A,QUAN,Patagonotothen sima,3,10,12,11,0.06
13-Feb-18,Isla de los Estados,Merle Cove,-54.792,-64.08,Kelp bed,9,South,2,A,QUAN,Patagonotothen cornucola,2,16,20,18,0.04
13-Feb-18,Isla de los Estados,Merle Cove,-54.792,-64.08,Kelp bed,9,South,2,A,QUAN,Patagonotothen squamiceps,3,10,12,11,0.06
13-Feb-18,Isla de los Estados,Merle Cove,-54.792,-64.08,Kelp bed,9,South,2,A,QUAN,Patagonotothen tessellata,8,15,20,17.5,0.16
13-Feb-18,Isla de los Estados,Merle Cove,-54.792,-64.08,Kelp bed,9,South,2,B,QUAN,Patagonotothen sima,3,11,12,11.5,0.06
13-Feb-18,Isla de los Estados,Merle Cove,-54.792,-64.08,Kelp bed,9,South,2,B,QUAN,Patagonotothen squamiceps,2,10,12,11,0.04
14-Feb-18,Isla de los Estados,Puerto Cook,-54.74263,-63.99825,Kelp bed,11,North,3,A,QUAN,Harpagifer bispinis,1,6,,6,0.02
14-Feb-18,Isla de los Estados,Puerto Cook,-54.74263,-63.99825,Kelp bed,11,North,3,A,QUAN,Patagonotothen cornucola,2,11,15,13,0.04
14-Feb-18,Isla de los Estados,Puerto Cook,-54.74263,-63.99825,Kelp bed,11,North,3,A,QUAN,Patagonotothen squamiceps,4,6,10,8,0.08
14-Feb-18,Isla de los Estados,Puerto Cook,-54.74263,-63.99825,Kelp bed,11,North,3,A,QUAN,Patagonotothen sima,1,10,,10,0.02
14-Feb-18,Isla de los Estados,Puerto Cook,-54.74263,-63.99825,Kelp bed,11,North,3,B,QUAN,Cottoperca trigloides,1,20,,20,0.02
14-Feb-18,Isla de los Estados,Puerto Cook,-54.74263,-63.99825,Kelp bed,11,North,3,B,QUAN,Harpagifer bispinis,2,6,8,7,0.04
14-Feb-18,Isla de los Estados,Puerto Cook,-54.74263,-63.99825,Kelp bed,11,North,3,B,QUAN,Patagonotothen cornucola,2,10,12,11,0.04
14-Feb-18,Isla de los Estados,Puerto Cook,-54.74263,-63.99825,Kelp bed,11,North,3,B,QUAN,Patagonotothen sima,3,8,12,10,0.06
14-Feb-18,Isla de los Estados,Puerto Cook,-54.74263,-63.99825,Kelp bed,11,North,3,B,QUAN,Patagonotothen squamiceps,14,6,12,9,0.28
14-Feb-18,Isla de los Estados,Puerto Lasserre,-54.73656,-63.86156,Kelp bed,10,North,4,A,QUAN,Patagonotothen squamiceps,16,8,12,10,0.32
14-Feb-18,Isla de los Estados,Puerto Lasserre,-54.73656,-63.86156,Kelp bed,10,North,4,A,QUAN,Patagonotothen tessellata,25,5,16,10.5,0.50
14-Feb-18,Isla de los Estados,Puerto Lasserre,-54.73656,-63.86156,Kelp bed,10,North,4,A,QUAN,Patagonotothen cornucola,23,5,12,8.5,0.46
14-Feb-18,Isla de los Estados,Puerto Lasserre,-54.73656,-63.86156,Kelp bed,10,North,4,A,QUAN,Patagonotothen sima,4,5,10,7.5,0.08
14-Feb-18,Isla de los Estados,Puerto Lasserre,-54.73656,-63.86156,Kelp bed,10,North,4,B,QUAN,Patagonotothen squamiceps,19,8,10,9,0.38
14-Feb-18,Isla de los Estados,Puerto Lasserre,-54.73656,-63.86156,Kelp bed,10,North,4,B,QUAN,Patagonotothen tessellata,30,5,15,10,0.60
14-Feb-18,Isla de los Estados,Puerto Lasserre,-54.73656,-63.86156,Kelp bed,10,North,4,B,QUAN,Patagonotothen sima,4,4,6,5,0.08
14-Feb-18,Isla de los Estados,Puerto Lasserre,-54.73656,-63.86156,Kelp bed,10,North,4,B,QUAN,Patagonotothen cornucola,3,10,12,11,0.06
14-Feb-18,Isla de los Estados,Puerto Lasserre,-54.73656,-63.86156,Kelp bed,10,North,4,B,QUAN,Patagonotothen longipes,1,16,,16,0.02
15-Feb-18,Isla de los Estados,Puerto Back,-54.78655,-63.88042,Kelp bed,10,South,5,A,QUAN,Patagonotothen cornucola,8,6,16,11,0.16
15-Feb-18,Isla de los Estados,Puerto Back,-54.78655,-63.88042,Kelp bed,10,South,5,A,QUAN,Patagonotothen sima,2,5,,5,0.04
15-Feb-18,Isla de los Estados,Puerto Back,-54.78655,-63.88042,Kelp bed,10,South,5,A,QUAN,Patagonotothen longipes,3,15,16,15.5,0.06
15-Feb-18,Isla de los Estados,Puerto Back,-54.78655,-63.88042,Kelp bed,10,South,5,A,QUAN,Patagonotothen squamiceps,1,5,,5,0.02
15-Feb-18,Isla de los Estados,Puerto Back,-54.78655,-63.88042,Kelp bed,9,South,5,B,QUAN,Patagonotothen cornucola,5,15,18,16.5,0.10
15-Feb-18,Isla de los Estados,Puerto Back,-54.78655,-63.88042,Kelp bed,9,South,5,B,QUAN,Patagonotothen sima,3,6,10,8,0.06
15-Feb-18,Isla de los Estados,Puerto Back,-54.78655,-63.88042,Kelp bed,9,South,5,B,QUAN,Patagonotothen longipes,1,15,,15,0.02
15-Feb-18,Isla de los Estados,Caleta Correa,-54.79306,-63.91311,Kelp bed,10,South,6,A,QUAN,Patagonotothen squamiceps,1,12,,12,0.02
15-Feb-18,Isla de los Estados,Caleta Correa,-54.79306,-63.91311,Kelp bed,10,South,6,A,QUAN,Patagonotothen cornucola,3,6,20,13,0.06
15-Feb-18,Isla de los Estados,Caleta Correa,-54.79306,-63.91311,Kelp bed,10,South,6,A,QUAN,Paranotothenia magellanica,5,6,16,11,0.10
15-Feb-18,Isla de los Estados,Caleta Correa,-54.79306,-63.91311,Kelp bed,10,South,6,A,QUAN,Patagonotothen sima,1,6,,6,0.02
15-Feb-18,Isla de los Estados,Caleta Correa,-54.79306,-63.91311,Kelp bed,10,South,6,B,QUAN,Paranotothenia magellanica,4,5,20,12.5,0.08
15-Feb-18,Isla de los Estados,Caleta Correa,-54.79306,-63.91311,Kelp bed,10,South,6,B,QUAN,Patagonotothen squamiceps,3,6,10,8,0.06
15-Feb-18,Isla de los Estados,Caleta Correa,-54.79306,-63.91311,Kelp bed,10,South,6,B,QUAN,Patagonotothen sima,2,5,,5,0.04
15-Feb-18,Isla de los Estados,Caleta Correa,-54.79306,-63.91311,Kelp bed,10,South,6,B,QUAN,Patagonotothen cornucola,2,5,20,12.5,0.04
16-Feb-18,Isla de los Estados,Pta. Conway,-54.73532,-64.22746,Kelp bed,10,North,7,A,QUAN,Patagonotothen sima,3,5,8,6.5,0.06
16-Feb-18,Isla de los Estados,Pta. Conway,-54.73532,-64.22746,Kelp bed,10,North,7,A,QUAN,Patagonotothen squamiceps,5,6,7,6.5,0.10
16-Feb-18,Isla de los Estados,Pta. Conway,-54.73532,-64.22746,Kelp bed,10,North,7,A,QUAN,Harpagifer bispinis,2,4,5,4.5,0.04
16-Feb-18,Isla de los Estados,Puerto Cook inside,-54.76057,-64.0286,Kelp bed,10,North,8,A,QUAN,Patagonotothen sima,5,4,6,5,0.10
16-Feb-18,Isla de los Estados,Puerto Cook inside,-54.76057,-64.0286,Kelp bed,10,North,8,A,QUAN,Patagonotothen brevicauda,1,15,,15,0.02
16-Feb-18,Isla de los Estados,Puerto Cook inside,-54.76057,-64.0286,Kelp bed,10,North,8,A,QUAN,Patagonotothen squamiceps,6,6,10,8,0.12
16-Feb-18,Isla de los Estados,Puerto Cook inside,-54.76057,-64.0286,Kelp bed,10,North,8,A,QUAN,Patagonotothen cornucola,5,5,10,7.5,0.10
16-Feb-18,Isla de los Estados,Puerto Cook inside,-54.76057,-64.0286,Kelp bed,10,North,8,A,QUAN,Patagonotothen squamiceps,4,5,8,6.5,0.08
16-Feb-18,Isla de los Estados,Puerto Cook inside,-54.76057,-64.0286,Kelp bed,10,North,8,B,QUAN,Patagonotothen cornucola,12,6,16,11,0.24
16-Feb-18,Isla de los Estados,Puerto Cook inside,-54.76057,-64.0286,Kelp bed,10,North,8,B,QUAN,Patagonotothen squamiceps,3,6,8,7,0.06
16-Feb-18,Isla de los Estados,Puerto Cook inside,-54.76057,-64.0286,Kelp bed,10,North,8,B,QUAN,Patagonotothen squamiceps,15,5,10,7.5,0.30
16-Feb-18,Isla de los Estados,Puerto Cook inside,-54.76057,-64.0286,Kelp bed,10,North,8,B,QUAN,Patagonotothen sima,8,4,5,4.5,0.16
16-Feb-18,Isla de los Estados,Puerto Cook inside,-54.76057,-64.0286,Kelp bed,10,North,8,B,QUAN,Patagonotothen brevicauda,1,5,,5,0.02
16-Feb-18,Isla de los Estados,Puerto Cook inside,-54.76057,-64.0286,Kelp bed,10,North,8,B,QUAN,Cottoperca trigloides,1,20,,20,0.02
17-Feb-18,Isla de los Estados,Puerto Cook Middle islet,-54.75269,-64.02621,Kelp bed,10,North,9,A,QUAN,Patagonotothen squamiceps,27,5,8,6.5,0.54
17-Feb-18,Isla de los Estados,Puerto Cook Middle islet,-54.75269,-64.02621,Kelp bed,10,North,9,A,QUAN,Patagonotothen cornucola,9,5,15,10,0.18
17-Feb-18,Isla de los Estados,Puerto Cook Middle islet,-54.75269,-64.02621,Kelp bed,10,North,9,A,QUAN,Patagonotothen sima,6,5,6,5.5,0.12
17-Feb-18,Isla de los Estados,Puerto Cook Middle islet,-54.75269,-64.02621,Kelp bed,10,North,9,B,QUAN,Patagonotothen sima,1,6,,6,0.02
17-Feb-18,Isla de los Estados,Puerto Cook Middle islet,-54.75269,-64.02621,Kelp bed,10,North,9,B,QUAN,Patagonotothen tessellata,15,4,6,5,0.30
17-Feb-18,Isla de los Estados,Puerto Cook Middle islet,-54.75269,-64.02621,Kelp bed,10,North,9,B,QUAN,Austrolycus depressiceps,1,33,,33,0.02
17-Feb-18,Isla de los Estados,Puerto Cook Middle islet,-54.75269,-64.02621,Kelp bed,10,North,9,B,QUAN,Patagonotothen squamiceps,25,5,6,5.5,0.50
17-Feb-18,Isla de los Estados,Puerto Cook Middle islet,-54.75269,-64.02621,Kelp bed,10,North,9,B,QUAN,Patagonotothen cornucola,12,5,20,12.5,0.24
18-Feb-18,Isla de los Estados,Ite. Colnett,-54.70732,-64.33367,Kelp bed,10,North,10,A,QUAN,Patagonotothen cornucola,2,6,8,7,0.04
18-Feb-18,Isla de los Estados,Ite. Colnett,-54.70732,-64.33367,Kelp bed,10,North,10,A,QUAN,Patagonotothen sima,6,5,7,6,0.12
18-Feb-18,Isla de los Estados,Ite. Colnett,-54.70732,-64.33367,Kelp bed,10,North,10,A,QUAN,Patagonotothen squamiceps,4,6,8,7,0.08
18-Feb-18,Isla de los Estados,Ite. Colnett,-54.70732,-64.33367,Kelp bed,10,North,10,A,QUAN,Haushia marinae,1,8,,8,0.02
18-Feb-18,Isla de los Estados,Ite. Colnett,-54.70732,-64.33367,Kelp bed,10,North,10,B,QUAN,Patagonotothen sima,2,6,7,6.5,0.04
18-Feb-18,Isla de los Estados,Ite. Colnett,-54.70732,-64.33367,Kelp bed,10,North,10,B,QUAN,Harpagifer bispinis,1,6,,6,0.02
18-Feb-18,Isla de los Estados,Ite. Colnett,-54.70732,-64.33367,Kelp bed,10,North,10,B,QUAN,Cottoperca trigloides,1,,35,35,0.02
18-Feb-18,Isla de los Estados,Ite. Colnett,-54.70732,-64.33367,Kelp bed,10,North,10,B,QUAN,Patagonotothen cornucola,1,16,,16,0.02
18-Feb-18,Isla de los Estados,Ite. Colnett,-54.70732,-64.33367,Kelp bed,10,North,10,B,QUAN,Patagonotothen brevicauda,2,10,,10,0.04
18-Feb-18,Isla de los Estados,Ite. Colnett,-54.70732,-64.33367,Kelp bed,10,North,10,B,QUAN,Patagonotothen squamiceps,6,6,8,7,0.12
18-Feb-18,Isla de los Estados,Ite. Colnett,-54.70979,-64.34583,Kelp bed,10,North,11,A,QUAN,Harpagifer bispinis,1,7,,7,0.02
18-Feb-18,Isla de los Estados,Ite. Colnett,-54.70979,-64.34583,Kelp bed,10,North,11,A,QUAN,Patagonotothen tessellata,1,15,,15,0.02
18-Feb-18,Isla de los Estados,Ite. Colnett,-54.70979,-64.34583,Kelp bed,10,North,11,A,QUAN,Patagonotothen sima,4,6,8,7,0.08
18-Feb-18,Isla de los Estados,Ite. Colnett,-54.70979,-64.34583,Kelp bed,10,North,11,A,QUAN,Patagonotothen longipes,1,10,,10,0.02
18-Feb-18,Isla de los Estados,Ite. Colnett,-54.70979,-64.34583,Kelp bed,10,North,11,A,QUAN,Patagonotothen squamiceps,9,6,8,7,0.18
18-Feb-18,Isla de los Estados,Ite. Colnett,-54.70979,-64.34583,Kelp bed,10,North,11,A,QUAN,Patagonotothen cornucola,2,10,12,11,0.04
18-Feb-18,Isla de los Estados,Ite. Colnett,-54.70979,-64.34583,Kelp bed,10,North,11,B,QUAN,Patagonotothen squamiceps,4,6,8,7,0.08
18-Feb-18,Isla de los Estados,Ite. Colnett,-54.70979,-64.34583,Kelp bed,10,North,11,B,QUAN,Patagonotothen sima,3,4,5,4.5,0.06
19-Feb-18,Tierra del Fuego,Bahia Tethis,-54.6253,-65.22694,Kelp bed,10,East,12,A,QUAN,Paranotothenia magellanica,18,6,14,10,0.36
19-Feb-18,Tierra del Fuego,Bahia Tethis,-54.6253,-65.22694,Kelp bed,10,East,12,A,QUAN,Haushia marinae,1,12,,12,0.02
19-Feb-18,Tierra del Fuego,Bahia Tethis,-54.6253,-65.22694,Kelp bed,10,East,12,A,QUAN,Cottoperca trigloides,1,,30,30,0.02
19-Feb-18,Tierra del Fuego,Bahia Tethis,-54.6253,-65.22694,Kelp bed,10,East,12,B,QUAN,Paranotothenia magellanica,4,6,8,7,0.08
19-Feb-18,Tierra del Fuego,Bahia Tethis,-54.6253,-65.22694,Kelp bed,10,East,12,B,QUAN,Austrolycus depressiceps,1,16,,16,0.02
19-Feb-18,Tierra del Fuego,Bahia Tethis,-54.62208,-65.22205,Kelp bed,10,East,13,A,QUAN,Patagonotothen sima,2,5,6,5.5,0.04
19-Feb-18,Tierra del Fuego,Bahia Tethis,-54.62208,-65.22205,Kelp bed,10,East,13,A,QUAN,Paranotothenia magellanica,5,6,10,8,0.10
19-Feb-18,Tierra del Fuego,Bahia Tethis,-54.62208,-65.22205,Kelp bed,10,East,13,A,QUAN,Paranotothenia magellanica,8,6,12,9,0.16
20-Feb-18,Isla de los Estados,Bahia San Antonio,-54.73991,-64.51731,Kelp bed,9,North,14,A,QUAN,Patagonotothen cornucola,6,5,23,14,0.12
20-Feb-18,Isla de los Estados,Bahia San Antonio,-54.73991,-64.51731,Kelp bed,9,North,14,A,QUAN,Patagonotothen sima,2,5,,5,0.04
20-Feb-18,Isla de los Estados,Bahia San Antonio,-54.73991,-64.51731,Kelp bed,9,North,14,A,QUAN,Patagonotothen squamiceps,22,5,8,6.5,0.44
20-Feb-18,Isla de los Estados,Bahia San Antonio,-54.73991,-64.51731,Kelp bed,9,North,14,B,QUAN,Patagonotothen cornucola,5,6,12,9,0.10
20-Feb-18,Isla de los Estados,Bahia San Antonio,-54.73991,-64.51731,Kelp bed,9,North,14,B,QUAN,Patagonotothen squamiceps,13,5,8,6.5,0.26
20-Feb-18,Isla de los Estados,Bahia Crossley,-54.7928,-64.6847,Kelp bed,10,North,15,A,QUAN,Patagonotothen cornucola,1,5,,5,0.02
20-Feb-18,Isla de los Estados,Bahia Crossley,-54.7928,-64.6847,Kelp bed,10,North,15,A,QUAN,Patagonotothen squamiceps,21,6,7,6.5,0.42
20-Feb-18,Isla de los Estados,Bahia Crossley,-54.7928,-64.6847,Kelp bed,10,North,15,A,QUAN,Patagonotothen tessellata,2,6,8,7,0.04
20-Feb-18,Isla de los Estados,Bahia Crossley,-54.7928,-64.6847,Kelp bed,10,North,15,B,QUAN,Patagonotothen squamiceps,8,6,8,7,0.16
20-Feb-18,Isla de los Estados,Bahia Crossley,-54.7928,-64.6847,Kelp bed,10,North,15,B,QUAN,Patagonotothen sima,1,6,,6,0.02
20-Feb-18,Isla de los Estados,Bahia Crossley,-54.7928,-64.6847,Kelp bed,10,North,15,B,QUAN,Patagonotothen tessellata,2,10,15,12.5,0.04
20-Feb-18,Isla de los Estados,Bahia Crossley,-54.7928,-64.6847,Kelp bed,10,North,15,B,QUAN,Patagonotothen cornucola,2,15,18,16.5,0.04
20-Feb-18,Isla de los Estados,Bahia Crossley,-54.7928,-64.6847,Kelp bed,10,North,15,B,QUAN,Crossostomus sobrali,2,10,25,17.5,0.04
22-Feb-18,Isla de los Estados,Bahia York,-54.79604,-64.26859,Kelp bed,9,South,16,A,QUAN,Paranotothenia magellanica,4,5,6,5.5,0.08
22-Feb-18,Isla de los Estados,Bahia York,-54.79604,-64.26859,Kelp bed,9,South,16,A,QUAN,Patagonotothen sima,1,4,,4,0.02
22-Feb-18,Isla de los Estados,Bahia York,-54.79604,-64.26859,Kelp bed,9,South,16,B,QUAN,Paranotothenia magellanica,2,4,5,4.5,0.04
22-Feb-18,Isla de los Estados,Bahia York,-54.79604,-64.26859,Kelp bed,9,South,16,B,QUAN,Patagonotothen sima,4,4,5,4.5,0.08
22-Feb-18,Isla de los Estados,Bahia York,-54.79604,-64.26859,Kelp bed,9,South,16,B,QUAN,Patagonotothen cornucola,1,8,,8,0.02
22-Feb-18,Isla de los Estados,Bahia York,-54.79604,-64.26859,Kelp bed,9,South,16,B,QUAN,Crossostomus sobrali,1,18,,18,0.02
23-Feb-18,Tierra del Fuego,Bahia Valentin,-54.90915,-65.49481,Kelp bed,11,East,17,A,QUAN,Patagonotothen squamiceps,3,5,6,5.5,0.06
23-Feb-18,Tierra del Fuego,Bahia Valentin,-54.90915,-65.49481,Kelp bed,11,East,17,A,QUAN,Genypterus blacodes,1,,38,38,0.02
