Anzsic,Anzsic_description,Period,Data_value,Variable,Units,Gas,Status
DD1,"Electricity, gas, water, and waste services",2020Q3,2561,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2020Q4,1936,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2021Q1,2339,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2021Q2,2708,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2021Q3,1923,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2021Q4,1363,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2022Q1,1863,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2022Q2,2020,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2014Q1,223,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2014Q2,226,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2014Q3,254,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2014Q4,235,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2015Q1,240,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2015Q2,240,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2015Q3,229,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2015Q4,232,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2016Q1,238,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2016Q2,253,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2016Q3,266,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2016Q4,299,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2017Q1,314,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2017Q2,292,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2017Q3,328,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2017Q4,383,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2018Q1,370,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2018Q2,400,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2018Q3,399,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2018Q4,418,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2019Q1,396,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2019Q2,383,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2019Q3,378,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2019Q4,396,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2020Q1,372,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2020Q2,268,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2020Q3,424,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2020Q4,406,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2021Q1,409,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2021Q2,419,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2021Q3,366,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2021Q4,406,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2022Q1,393,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2022Q2,384,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2014Q1,2072,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2014Q2,2083,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2014Q3,2127,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2014Q4,2144,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2015Q1,2194,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2015Q2,2247,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2015Q3,2223,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2015Q4,2278,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2016Q1,2230,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2016Q2,2244,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2016Q3,2323,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2016Q4,2300,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2017Q1,2339,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2017Q2,2374,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2017Q3,2404,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2017Q4,2383,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2018Q1,2447,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2018Q2,2419,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2018Q3,2347,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2018Q4,2457,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2019Q1,2424,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2019Q2,2457,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2019Q3,2491,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2019Q4,2491,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2020Q1,2389,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2020Q2,1504,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2020Q3,1751,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2020Q4,1842,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2021Q1,1780,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2021Q2,1967,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2021Q3,1730,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2021Q4,1779,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2022Q1,1849,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2022Q2,1962,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2014Q1,1447,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2014Q2,1458,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2014Q3,1506,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2014Q4,1516,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2015Q1,1578,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2015Q2,1637,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2015Q3,1606,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2015Q4,1654,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2016Q1,1605,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2016Q2,1618,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2016Q3,1687,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2016Q4,1671,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2017Q1,1701,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2017Q2,1729,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2017Q3,1786,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2017Q4,1733,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2018Q1,1840,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2018Q2,1788,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2018Q3,1763,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2018Q4,1831,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2019Q1,1770,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2019Q2,1781,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2019Q3,1816,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2019Q4,1787,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2020Q1,1729,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2020Q2,902,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2020Q3,1091,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2020Q4,1152,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2021Q1,1137,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2021Q2,1259,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2021Q3,1100,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2021Q4,1117,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2022Q1,1158,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2022Q2,1222,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2014Q1,630,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2014Q2,623,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2014Q3,621,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2014Q4,626,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2015Q1,615,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2015Q2,612,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2015Q3,619,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2015Q4,620,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2016Q1,625,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2016Q2,628,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2016Q3,640,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2016Q4,622,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2017Q1,638,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2017Q2,646,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2017Q3,630,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2017Q4,638,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2018Q1,602,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2018Q2,628,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2018Q3,603,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2018Q4,610,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2019Q1,658,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2019Q2,663,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2019Q3,700,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2019Q4,690,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2020Q1,667,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2020Q2,583,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2020Q3,666,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2020Q4,684,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2021Q1,665,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2021Q2,678,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2021Q3,643,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2021Q4,655,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2022Q1,714,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2022Q2,707,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2014Q1,18463,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2014Q2,18651,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2014Q3,18741,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2014Q4,18934,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2015Q1,18841,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2015Q2,18535,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2015Q3,18532,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2015Q4,18481,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2016Q1,18249,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2016Q2,18168,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2016Q3,18233,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2016Q4,17761,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2017Q1,17953,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2017Q2,18454,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2017Q3,18563,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2017Q4,18651,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2018Q1,18234,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2018Q2,18344,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2018Q3,18550,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2018Q4,18812,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2019Q1,19136,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2019Q2,19006,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2019Q3,18693,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2019Q4,18775,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2020Q1,18517,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2020Q2,17345,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2020Q3,18084,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2020Q4,18044,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2021Q1,18160,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2021Q2,19054,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2021Q3,16999,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2021Q4,17320,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2022Q1,17551,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2022Q2,17783,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2014Q1,1969,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2014Q2,2007,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2014Q3,2047,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2014Q4,2020,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2015Q1,2074,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2015Q2,2095,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2015Q3,2114,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2015Q4,2125,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2016Q1,2121,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2016Q2,2111,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2016Q3,2161,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2016Q4,2169,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
